Temperament|A|Bb|B|C|C#|D|Eb|E|F|F#|G|G# (Thesse values are the cents deviation from the Equal temperament scale)
Equal Temperament|0|0|0|0|0|0|0|0|0|0|0|0
Bendeler (Fractions)|0|6.546|3.91|10.456|0.681|-1.955|4.591|1.955|8.501|-1.274|3.229|2.636
Equal, Perfect Fourth|0|-0.391|-0.782|3.519|3.128|2.737|2.346|1.955|1.564|1.173|0.782|0.391
Equal, Perfect Fifth|0|0.279|0.558|-2.514|-2.235|-1.956|-1.677|-1.397|-1.118|-0.838|-0.559|-0.28
Agricola (Martin)|0|-9.775|3.91|-5.865|-13.686|-1.955|-9.776|1.955|-7.82|-15.641|-3.91|-11.731
Ammerbach (1571)|0|4.888|-1.955|5.865|-7.82|3.91|8.798|-1.955|3.91|-3.91|7.82|-9.775
Bach (Billeter, Well-Tempered)|0|2.933|-4.887|4.888|-2.932|4.888|0.978|-4.887|4.888|-4.887|4.888|-0.977
Bach (Kelletats, 1966)|0|5.214|-4.561|9.124|-0.651|4.563|3.259|-4.563|7.169|-2.606|9.126|1.304
Bach (Kellner, 1977)|0|4.301|-0.782|8.211|-1.564|2.737|2.346|-2.737|6.256|-3.519|5.474|0.391
Bach (Kellner, Well-Tempered)|0|5.864|-1.303|9.774|-0.001|3.258|3.909|-3.258|7.819|-1.956|6.516|1.954
Bach (Klais)|0|3.77|-5.7|7.491|-1.953|3.741|1.852|-4.878|5.651|-3.815|7.512|-0.02
Bagpipe|0|0|3.9|0|-13.7|-1.9|0|2.0|0|0|-15.6|-31.2
Barnes (1971)|0|1.956|-1.955|2.933|-0.977|0.978|0|-0.977|3.911|-2.932|1.956|0.978
Barnes (1977)|0|5.865|0|5.865|0|1.955|3.91|-1.955|7.82|-1.955|3.91|1.955
Bendeler III|0|1.955|-1.955|5.865|1.955|-1.955|0|1.955|3.91|0|1.955|3.91
Bermudo (1555)|0|-5.865|0|-1.955|-1.955|-1.955|-7.82|-1.955|-3.91|-3.91|0|0
Bossart I|0|13.685|-4.888|5.865|-3.91|3.91|14.663|-3.91|9.775|-5.865|4.888|0
Bossart II|0|10.753|1.955|5.865|0|0.978|14.663|0|9.775|-1.955|4.888|1.955
Bossart III|0|10.753|-4.888|5.865|-0.978|3.91|11.73|-3.91|9.775|-2.933|4.888|2.932
